schema_version,snapshot_date,module_label,module_api_name,field_label,field_display_label,field_api_name,data_type,json_type,origin_status,usage_status,visible_status,write_status,read_only_status,field_read_only_status,api_create_status,api_update_status,system_required_status,standard_layout_required_status,unique_status,encryption_status,personal_designation_status,virtual_status,length,decimal_places,history_tracking_status,external_field_status,searchable_status,filterable_status,sortable_status,help_text_status,picklist_value_count,picklist_options_status,metadata_verification_status
2,2026-08-14,Leads,Leads,Lead Status,Lead Status,Lead_Status,picklist,string,system,used,true,writable,false,false,true,true,optional,required,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,13,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Social Lead ID,Social Lead ID,leadchain0__Social_Lead_ID,text,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,150,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Lifecycle Status,Lifecycle Status,Lifecycle_Status,picklist,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,10,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact LinkedIn,Contact LinkedIn,LinkedIn,website,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,450,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Location Source URL,Location Source URL,Location_Source_URL,website,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,450,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Location Type,Location Type,Location_Type,picklist,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,7,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Locked,Locked,Locked__s,boolean,boolean,system,used,true,read_only,true,true,false,false,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,5,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Company Phone,Company Phone,Main_Business_Phone,phone,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,30,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Mobile,Contact Mobile,Mobile,phone,string,system,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,30,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Modified By,Modified By,Modified_By,ownerlookup,jsonobject,system,used,true,read_only,false,false,false,false,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
