schema_version,snapshot_date,module_api_name,layout_name,layout_api_name,layout_status,section_mode,section_sequence,section_label,section_api_name,column_count,field_sequence,field_source_ordinal,field_label,layout_display_label,field_api_name,data_type,default_value_status,required_status,read_only_status,field_read_only_status,api_write_status,metadata_verification_status
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,9,11,Contact Mobile,Contact Mobile,Mobile,phone,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,10,12,Contact Verification,Contact Verification,Contact_Verification_Status,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,11,13,Decision-Maker Role,Decision-Maker Role,Decision_Maker_Role,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,12,14,Contact Verified At,Contact Verified At,Contact_Verified_At,datetime,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,13,15,Contact Location Link,Contact Location Link,Contact_Location_Relationship,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,14,16,Contact Source URL,Contact Source URL,Contact_Source_URL,website,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,16,17,Distance,Distance,nearby_distance__s,double,not_exposed,optional,true,true,read_only,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,17,18,Last Activity Time,Last Activity Time,Last_Activity_Time,datetime,not_exposed,optional,false,true,read_only,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,18,19,Converted Contact,Converted Contact,Converted_Contact,lookup,not_exposed,optional,true,true,read_only,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,19,20,Converted Account,Converted Account,Converted_Account,lookup,not_exposed,optional,true,true,read_only,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,20,21,Is Converted,Is Converted,Converted__s,boolean,not_exposed,optional,true,true,read_only,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,21,22,Record Status,Record Status,Record_Status__s,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,22,23,Locked,Locked,Locked__s,boolean,not_exposed,optional,true,true,read_only,verified_live_read_only
