schema_version,snapshot_date,source_module_label,source_module_api_name,source_field_label,source_field_api_name,source_data_type,source_usage_status,target_module_label,target_module_api_name,target_field_label,target_field_api_name,target_data_type,target_field_status,current_mapping_status,type_compatibility_status,choice_compatibility_status,mapping_review_status,review_reason_code,metadata_verification_status
1,2026-08-05,Leads,Leads,Commercial Fit,Budget_Fit,picklist,used,Deals,Deals,Commercial Fit,Budget_Fit,picklist,existing_used,unmapped,exact,exact,safe_add,deal_owned,verified
1,2026-08-05,Leads,Leads,Change Log Time,Change_Log_Time__s,datetime,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Change Log Time,Change_Log_Time__s,datetime,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Change Log Time,Change_Log_Time__s,datetime,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,City,City,text,unused,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,legacy_field,verified
1,2026-08-05,Leads,Leads,City,City,text,unused,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,legacy_field,verified
1,2026-08-05,Leads,Leads,City,City,text,unused,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,legacy_field,verified
1,2026-08-05,Leads,Leads,Company,Company,text,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,company_owned,verified
1,2026-08-05,Leads,Leads,Company,Company,text,used,Accounts,Accounts,Account Name,Account_Name,text,existing_used,mapped,exact,not_choice,safe_keep,exact_match,verified
1,2026-08-05,Leads,Leads,Company,Company,text,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,company_owned,verified
1,2026-08-05,Leads,Leads,Company Email,Company_Email,email,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,company_owned,verified
1,2026-08-05,Leads,Leads,Company Email,Company_Email,email,used,Accounts,Accounts,Email,Email,email,existing_used,unmapped,exact,not_choice,safe_add,company_owned,verified
1,2026-08-05,Leads,Leads,Company Email,Company_Email,email,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,company_owned,verified
